Model,Accuracy,F1 Score,RMSE,Log Loss,Best Params
Logistic Regression,0.546078992558672,0.4086111217421256,1.005534873954056,0.9581996815026891,{'C': 10}
Random Forest,0.5340583858042358,0.4086693744489522,1.0088960401754115,0.9747780884165559,"{'max_depth': 10, 'n_estimators': 1000}"
SVM,0.4310246136233543,0.2008,1.103447600912349,1.0618569643214886,"{'C': 1, 'kernel': 'rbf'}"
MLP,0.4310246136233543,0.2008,1.103447600912349,1.076956588371216,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'learning_rate_init': 0.001}"
XGBoost,0.5220377790497996,0.3856845982765691,1.0204030955079642,0.9723371269903465,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}"
