,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Season,League,HS,AS,HST,AST,HomeTeam_FormPts,AwayTeam_FormPts,HomeTeam_FormGS,AwayTeam_FormGS,HomeTeam_FormGC,AwayTeam_FormGC,Home_GoalSup,Away_GoalSup,Match_GoalSup,Imp_H,Imp_D,Imp_A,Result
count,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0,10683.0
mean,72.11251521108304,72.18169053636619,1.5414209491715811,1.256388654872227,2.790275203594496,4.067610221847795,4.368146588037068,2.5090330431526726,2.0824674716839837,13.403631938594028,11.078629598427408,4.8828044556772445,4.051858092296172,1.410872414115885,1.3418671409404348,1.3868763455958064,1.4517176822989797,1.55188617429561,1.5740522325189552,-0.0776935317794627,0.16119067677618645,-0.23888420855564915,0.4375788049571283,0.24737179464810208,0.31504940039476964,0.8791537957502574
std,40.82985913744591,40.865785064539196,1.302440396244602,1.1732824043215606,1.8995451615859438,1.2563538901373006,3.503226657511146,1.6998044512170667,1.3944934823822583,5.22435730920208,4.714086646749451,2.6331473216115358,2.375869269410129,0.6468331409356644,0.6728478581876662,0.630411050394507,0.6789318199028187,0.6408173181167085,0.607925043823589,5.609103340922058,5.593484166778511,7.826189281669057,0.18316011348364897,0.048925146211849874,0.16719873920773595,0.85500977209811
min,0.0,0.0,0.0,0.0,1.03,2.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.0,-22.0,-21.0,-32.0,0.04121237260014221,0.045442159216246024,0.023780596218811116,0.0
25%,37.0,38.0,1.0,0.0,1.67,3.4,2.3,1.0,1.0,10.0,8.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.2,-4.0,-3.0,-5.0,0.30404774035917403,0.22240086157580746,0.18882654305928276,0.0
50%,76.0,76.0,1.0,1.0,2.25,3.6,3.3,3.0,2.0,13.0,11.0,5.0,4.0,1.4,1.3333333333333333,1.25,1.4,1.4,1.6,0.0,0.0,0.0,0.4233870967741936,0.26218877591866147,0.28889789303079416,1.0
75%,108.0,108.0,2.0,2.0,3.1,4.33,5.0,4.0,3.0,17.0,14.0,6.0,5.0,1.75,1.75,1.6,1.8,2.0,2.0,3.0,4.0,5.0,0.5689677299756157,0.2804889172671714,0.4148204348047133,2.0
max,139.0,139.0,9.0,9.0,23.0,21.0,41.0,5.0,4.0,46.0,35.0,20.0,20.0,3.0,3.0,4.0,3.8,3.6,3.2,24.0,23.0,31.0,0.9264906247972491,0.4482044748785731,0.8858734297226831,2.0
