,HomeTeam,AwayTeam,FTHG,FTAG,Imp_H,Imp_D,Imp_A,Result,HomeTeam_FormPts,AwayTeam_FormPts,HomeTeam_FormGS,AwayTeam_FormGS,HomeTeam_FormGC,AwayTeam_FormGC,Home_GoalSup,Away_GoalSup,Match_GoalSup
HomeTeam,1.0,-0.03137286624506361,-0.016293537327403053,0.006793669196091989,-0.009723979594217936,0.03539555469856273,0.0002823352356322452,0.01275571604388587,-0.00740566123838266,0.003411101793238866,-0.01718232497666083,0.00862022673140605,-0.003756830332666314,-0.0007234973095214929,-0.009950660749458218,0.006620726525403367,-0.01163283491997199
AwayTeam,-0.03137286624506361,1.0,-0.016826290971977742,0.0011095738778527098,-0.007237073836502948,0.04113965290088431,-0.004129541764060241,0.00959012323455644,-0.017270817837486387,-0.0013835781493524032,-0.007759496250288287,-0.011504785957127847,0.01744165479539582,-0.011490911069492918,-0.013810722897886955,-0.0021699281355808246,-0.008201887847812263
FTHG,-0.016293537327403053,-0.016826290971977742,1.0,-0.08932033348530277,0.37250254742376016,-0.2581343091742847,-0.33278526868782043,-0.629963004003556,0.20159103688036797,-0.13737931398023195,0.23173228028722534,-0.10478685388825322,-0.10882964852525248,0.12974694381977223,0.223101530713942,-0.14557523911423545,0.2588125194065728
FTAG,0.006793669196091989,0.0011095738778527098,-0.08932033348530277,1.0,-0.3199688264669367,0.005382399281518893,0.3493054308717439,0.637496675361322,-0.12430664154493606,0.1655885058209765,-0.09562499606014077,0.17613193605597482,0.12174449407033111,-0.11338927545228486,-0.13573203772446785,0.18680285537181346,-0.2261571313474786
Imp_H,-0.009723979594217936,-0.007237073836502948,0.37250254742376016,-0.3199688264669367,1.0,-0.4486449769983504,-0.9650362602539956,-0.4254121712611788,0.4467406761617678,-0.4115223650794061,0.4420100188581066,-0.3831526997187279,-0.30394539165995205,0.3070827449956104,0.4784791179956556,-0.43762113845181927,0.64276939548332
Imp_D,0.03539555469856273,0.04113965290088431,-0.2581343091742847,0.005382399281518893,-0.4486449769983504,1.0,0.198702589504851,0.1416898015450461,-0.34578728785631196,-0.0042859331709964405,-0.41081477257308585,-0.09117039997459711,0.1579081852663131,-0.08745024024211644,-0.36963052811384545,-0.007466940386922171,-0.25490748527316465
Imp_A,0.0002823352356322452,-0.004129541764060241,-0.33278526868782043,0.3493054308717439,-0.9650362602539956,0.198702589504851,1.0,0.42495902550683257,-0.388488483049054,0.4525404485927715,-0.36422882731675604,0.4469120859283797,0.2869995002030753,-0.31110460869715295,-0.4163004863639687,0.4820938291729311,-0.6301115446524048
Result,0.01275571604388587,0.00959012323455644,-0.629963004003556,0.637496675361322,-0.4254121712611788,0.1416898015450461,0.42495902550683257,1.0,-0.1953872165290914,0.19319491842406875,-0.1885855439147611,0.17818264016261992,0.14709195227200875,-0.15264117972375593,-0.21453822405847417,0.208475348958414,-0.29677338323892366
HomeTeam_FormPts,-0.00740566123838266,-0.017270817837486387,0.20159103688036797,-0.12430664154493606,0.4467406761617678,-0.34578728785631196,-0.388488483049054,-0.1953872165290914,1.0,-0.017264431140460543,0.7425343182522519,-0.0017069510342168663,-0.6767679940710281,0.01807495463245458,0.8879086890283463,-0.014529545927069029,0.6350308364292679
AwayTeam_FormPts,0.003411101793238866,-0.0013835781493524032,-0.13737931398023195,0.1655885058209765,-0.4115223650794061,-0.0042859331709964405,0.4525404485927715,0.19319491842406875,-0.017264431140460543,1.0,-0.021497780950724722,0.7452109295139893,0.00738553309526454,-0.6821483841421927,-0.019113923112876328,0.8885644538562454,-0.6348427970806396
HomeTeam_FormGS,-0.01718232497666083,-0.007759496250288287,0.23173228028722534,-0.09562499606014077,0.4420100188581066,-0.41081477257308585,-0.36422882731675604,-0.1885855439147611,0.7425343182522519,-0.021497780950724722,1.0,0.024183268033052048,-0.25202574564525093,0.053195324699331595,0.8054503624603945,-0.017634206745319153,0.579171543634157
AwayTeam_FormGS,0.00862022673140605,-0.011504785957127847,-0.10478685388825322,0.17613193605597482,-0.3831526997187279,-0.09117039997459711,0.4469120859283797,0.17818264016261992,-0.0017069510342168663,0.7452109295139893,0.024183268033052048,1.0,0.04472967262342392,-0.2586327974770126,-0.011596362843302196,0.802985802965337,-0.5697053782726064
HomeTeam_FormGC,-0.003756830332666314,0.01744165479539582,-0.10882964852525248,0.12174449407033111,-0.30394539165995205,0.1579081852663131,0.2869995002030753,0.14709195227200875,-0.6767679940710281,0.00738553309526454,-0.25202574564525093,0.04472967262342392,1.0,0.04097098292249997,-0.7581398574459337,0.0066023707013340574,-0.5381617588520646
AwayTeam_FormGC,-0.0007234973095214929,-0.011490911069492918,0.12974694381977223,-0.11338927545228486,0.3070827449956104,-0.08745024024211644,-0.31110460869715295,-0.15264117972375593,0.01807495463245458,-0.6821483841421927,0.053195324699331595,-0.2586327974770126,0.04097098292249997,1.0,0.01288402300032786,-0.7641943572372958,0.5434839245830869
Home_GoalSup,-0.009950660749458218,-0.013810722897886955,0.223101530713942,-0.13573203772446785,0.4784791179956556,-0.36963052811384545,-0.4163004863639687,-0.21453822405847417,0.8879086890283463,-0.019113923112876328,0.8054503624603945,-0.011596362843302196,-0.7581398574459337,0.01288402300032786,1.0,-0.01593016698022689,0.7148951207932924
Away_GoalSup,0.006620726525403367,-0.0021699281355808246,-0.14557523911423545,0.18680285537181346,-0.43762113845181927,-0.007466940386922171,0.4820938291729311,0.208475348958414,-0.014529545927069029,0.8885644538562454,-0.017634206745319153,0.802985802965337,0.0066023707013340574,-0.7641943572372958,-0.01593016698022689,1.0,-0.7105313680534788
