Model,Accuracy,F1 Score,RMSE,Log Loss
Logistic Regression,0.5993131081854608,0.5025146429912507,0.944962453438757,0.9683892706738282
Random Forest,0.5792787635947338,0.49095518206146566,0.9518402411000734,0.9966348225149068
SVM,0.430452203777905,0.2006135787648393,1.1041924191567858,1.3416955804028063
MLP,0.430452203777905,0.2006135787648393,1.1041924191567858,1.120992510154146
XGBoost,0.593016599885518,0.520505570913965,0.9354935599527183,0.9715833761910543
